Lidar NIS, Time 
0,0
0,0
0,0
2.00943,33333
3.05936,33333
2.6716,33333
2.09675,66666
3.4001,66666
1.60617,66666
0.846951,100000
0.467986,100000
0.343242,100000
1.55564,133333
0.477682,133333
0.336433,133333
0.134186,166666
3.12122,166666
1.59185,166666
0.579653,200000
2.03201,200000
2.31959,200000
0.53049,233333
1.85149,233333
0.847118,233333
1.7131,266666
0.706192,266666
1.89049,266666
0.834195,300000
2.19806,300000
0.809109,300000
1.4968,333333
0.452093,333333
1.2353,333333
6.25528,366666
3.89943,366666
4.77664,366666
3.58999,400000
1.69388,400000
2.46781,400000
0.230507,433333
0.237772,433333
0.0402,433333
0.575601,466666
0.716624,466666
0.938651,466666
0.617195,500000
0.313827,500000
0.34449,500000
2.81471,533333
1.57244,533333
3.27692,533333
2.80583,566666
2.20486,566666
3.14284,566666
0.374775,600000
0.455356,600000
0.369697,600000
4.76063,633333
8.46344,633333
4.21047,633333
3.59348,666666
0.824564,666666
3.1131,666666
1.65114,700000
1.41557,700000
1.4657,700000
1.50511,733333
2.62634,733333
1.32361,733333
0.474913,766666
1.1869,766666
0.535057,766666
0.0878134,800000
2.27581,800000
0.114075,800000
0.154956,833333
0.767905,833333
0.10185,833333
3.62002,866666
1.30731,866666
3.48572,866666
1.99856,900000
0.406166,900000
2.25277,900000
4.07883,933333
7.80377,933333
3.20239,933333
3.58594,966666
1.09601,966666
4.40611,966666
2.77114,1000000
2.58857,1000000
3.31703,1000000
0.233893,1033333
1.35782,1033333
0.0739123,1033333
0.970657,1066666
1.75581,1066666
0.31554,1066666
0.464368,1100000
0.0310652,1100000
1.35419,1100000
1.06814,1133333
2.68108,1133333
0.943958,1133333
2.28713,1166666
1.20853,1166666
2.5777,1166666
0.665739,1200000
0.149917,1200000
1.59335,1200000
0.231323,1233333
0.710537,1233333
1.11124,1233333
0.414705,1266666
0.16453,1266666
1.31805,1266666
0.80885,1300000
0.0341223,1300000
2.08538,1300000
2.76316,1333333
1.61495,1333333
6.2782,1333333
4.36529,1366666
2.35445,1366666
7.52975,1366666
3.89553,1400000
2.05145,1400000
3.99252,1400000
0.373187,1433333
0.283722,1433333
3.51248,1433333
3.1995,1466666
4.10379,1466666
0.256807,1466666
1.65944,1500000
0.335448,1500000
2.86082,1500000
3.04528,1533333
3.05181,1533333
9.29922,1533333
5.46478,1566666
3.13531,1566666
8.66183,1566666
1.88329,1600000
1.24517,1600000
6.64123,1600000
0.911573,1633333
0.903714,1633333
4.46478,1633333
5.14443,1666666
3.48553,1666666
7.59593,1666666
4.04685,1700000
5.4553,1700000
6.753,1700000
0.786955,1733333
1.08495,1733333
1.51182,1733333
0.225831,1766666
