Radar NIS, Time 
21.9839,0
32.2942,0
1.98088,0
2.60106,33333
2.28742,33333
1.7503,33333
1.35,66666
3.4303,66666
2.75152,66666
1.39165,100000
1.84544,100000
2.15816,100000
0.57641,133333
1.04696,133333
2.13214,133333
3.20407,166666
1.88626,166666
3.56164,166666
5.43885,200000
1.31376,200000
1.26959,200000
0.0828112,233333
1.08329,233333
1.19733,233333
7.45872,266666
7.73764,266666
6.1971,266666
0.336949,300000
0.855525,300000
1.43003,300000
3.8115,333333
4.25031,333333
4.22831,333333
3.81644,366666
2.27713,366666
2.94895,366666
0.0540882,400000
0.537865,400000
1.08274,400000
8.89613,433333
6.29451,433333
2.28384,433333
3.78093,466666
4.35641,466666
4.8146,466666
1.82444,500000
0.958335,500000
2.44483,500000
1.13074,533333
0.844694,533333
1.51611,533333
0.756525,566666
1.14058,566666
1.59357,566666
3.10766,600000
2.1033,600000
4.98837,600000
3.52699,633333
3.62121,633333
4.08011,633333
5.39251,666666
5.72578,666666
6.0349,666666
2.54363,700000
2.70421,700000
1.05706,700000
1.52365,733333
1.4074,733333
5.10131,733333
0.209595,766666
0.0997578,766666
3.3756,766666
1.08222,800000
1.49134,800000
3.59194,800000
2.11992,833333
1.9957,833333
3.4917,833333
1.61993,866666
1.45473,866666
5.06811,866666
2.09388,900000
3.06735,900000
1.68679,900000
3.24558,933333
2.86627,933333
10.1126,933333
3.74282,966666
3.33743,966666
8.49015,966666
3.62179,1000000
5.69569,1000000
1.75876,1000000
0.260555,1033333
0.847494,1033333
1.81177,1033333
0.763998,1066666
0.422327,1066666
4.07314,1066666
2.83921,1100000
2.5136,1100000
9.54755,1100000
0.87607,1133333
0.67448,1133333
3.19581,1133333
1.13865,1166666
0.986148,1166666
9.05394,1166666
4.82784,1200000
4.78019,1200000
12.9916,1200000
5.66259,1233333
7.61481,1233333
3.81737,1233333
8.66955,1266666
8.47377,1266666
6.80678,1266666
8.8717,1300000
6.83362,1300000
11.6152,1300000
5.31232,1333333
4.64892,1333333
15.6005,1333333
0.910009,1366666
1.24899,1366666
4.51685,1366666
1.00411,1400000
1.09042,1400000
6.90592,1400000
3.20151,1433333
2.72659,1433333
12.2095,1433333
1.55347,1466666
1.53471,1466666
4.6751,1466666
6.76115,1500000
8.71301,1500000
23.8615,1500000
7.54702,1533333
7.07741,1533333
7.65123,1533333
2.75115,1566666
2.06311,1566666
10.8443,1566666
3.18203,1600000
3.87402,1600000
7.75412,1600000
1.57903,1633333
1.63664,1633333
13.4537,1633333
2.64441,1666666
2.46846,1666666
11.0007,1666666
0.622767,1700000
1.25043,1700000
9.65113,1700000
3.31415,1733333
2.22075,1733333
8.36193,1733333
0.435511,1766666
0.256163,1766666
4.5696,1766666
2.5023,1800000
3.90267,1800000
9.74974,1800000
0.916777,1833333
1.33535,1833333
5.12352,1833333
2.15221,1866666
5.94151,1866666
17.0524,1866666
7.27502,1900000
4.34646,1900000
19.1414,1900000
3.99654,1933333
4.4772,1933333
2.36029,1933333
3.64799,1966666
2.95139,1966666
1.97844,1966666
6.53496,2000000
5.03944,2000000
11.7277,2000000
1.40631,2033333
1.25872,2033333
7.86232,2033333
1.49969,2066666
1.2421,2066666
9.17967,2066666
3.58788,2100000
3.08464,2100000
9.4071,2100000
0.336784,2133333
0.717816,2133333
7.53845,2133333
3.17921,2166666
3.08558,2166666
16.2609,2166666
0.192359,2200000
0.276378,2200000
7.13305,2200000
0.300399,2233333
0.121798,2233333
5.63527,2233333
1.29589,2266666
2.01404,2266666
3.4488,2266666
3.79732,2300000
1.30595,2300000
11.6324,2300000
1.37722,2333333
2.93973,2333333
2.19874,2333333
2.15102,2366666
0.112431,2366666
6.32153,2366666
4.62813,2400000
9.11035,2400000
4.96381,2400000
1.82103,2433333
0.547453,2433333
6.0636,2433333
11.5414,2466666
10.6177,2466666
18.5103,2466666
7.14543,2500000
6.96388,2500000
10.1072,2500000
8.59223,2533333
2.83749,2533333
10.7143,2533333
6.61688,2566666
1.81341,2566666
8.84111,2566666
0.335093,2600000
1.2184,2600000
1.23328,2600000
2.79443,2633333
3.45235,2633333
8.84219,2633333
23.3962,2666666
14.7645,2666666
17.007,2666666
1.37734,2700000
0.0803677,2700000
4.67492,2700000
6.98861,2733333
2.54299,2733333
4.45715,2733333
3.57131,2766666
8.73143,2766666
8.79185,2766666
4.01263,2800000
7.28569,2800000
9.35008,2800000
3.03262,2833333
0.686619,2833333
2.09828,2833333
6.514,2866666
2.41518,2866666
5.68601,2866666
7.18271,2900000
3.98291,2900000
12.8763,2900000
10.482,2933333
5.82883,2933333
15.6549,2933333
5.8304,2966666
3.23584,2966666
12.1954,2966666
6.49273,3000000
3.62151,3000000
3.58268,3000000
5.72203,3033333
7.90951,3033333
20.4408,3033333
3.07698,3066666
1.40875,3066666
6.25013,3066666
2.20432,3100000
4.48036,3100000
8.639,3100000
2.57405,3133333
1.32811,3133333
8.87032,3133333
1.00776,3166666
2.14506,3166666
5.14677,3166666
0.0720396,3200000
0.412056,3200000
4.07928,3200000
2.68923,3233333
3.10614,3233333
12.413,3233333
10.0024,3266666
9.81251,3266666
47.8274,3266666
3.79042,3300000
2.75392,3300000
29.5724,3300000
3.048,3333333
1.60451,3333333
14.8079,3333333
2.79811,3366666
8.85483,3366666
32.1847,3366666
3.00297,3400000
0.322609,3400000
6.92482,3400000
8.94971,3433333
2.55061,3433333
10.7016,3433333
5.51398,3466666
2.60768,3466666
0.790827,3466666
4.59862,3500000
0.204449,3500000
10.1107,3500000
4.66792,3533333
0.54369,3533333
9.14734,3533333
6.81908,3566666
5.66651,3566666
17.0556,3566666
23.6275,3600000
8.9998,3600000
34.0248,3600000
10.7059,3633333
1.46278,3633333
20.0502,3633333
11.1879,3666666
0.99618,3666666
19.9159,3666666
8.47492,3700000
8.90792,3700000
24.6795,3700000
1.6208,3733333
1.08458,3733333
7.76747,3733333
6.44916,3766666
3.9974,3766666
18.536,3766666
1.35961,3800000
1.01624,3800000
9.3271,3800000
8.29073,3833333
1.27974,3833333
19.182,3833333
0.858543,3866666
1.91686,3866666
7.76295,3866666
3.84321,3900000
1.04254,3900000
14.3038,3900000
11.7045,3933333
4.98963,3933333
26.536,3933333
0.342585,3966666
2.56961,3966666
3.74243,3966666
4.85073,4000000
1.0314,4000000
13.9836,4000000
5.06694,4033333
